Player,Tm,Att,Yds,TD,Succ%,Y/A,Y/G,Fmb,-9999
Marquise Brown,ARI,1,29,0,100.0,29.0,5.8,0,BrowMa04
Noah Brown,HOU,1,-1,0,0.0,-1.0,-1.0,0,BrowNo00
Jake Browning,CIN,1,-1,0,0.0,-1.0,-1.0,0,BrowJa08
Treylon Burks,TEN,1,9,0,100.0,9.0,3.0,0,BurkTr00
Michael Burton,DEN,1,3,0,100.0,3.0,0.6,0,BurtMi00
Jason Cabinda,DET,1,0,0,0.0,0.0,0.0,0,CabiJa00
Ja'Marr Chase,CIN,1,2,0,0.0,2.0,0.4,0,ChasJa00
Sean Clifford,GNB,1,0,0,0.0,0.0,0.0,1,ClifSe00
Brandin Cooks,DAL,1,6,0,100.0,6.0,1.5,1,CookBr00
Ashtyn Davis,NYJ,1,4,0,100.0,4.0,0.8,0,DaviAs00
Gabriel Davis,BUF,1,-2,0,0.0,-2.0,-0.4,0,DaviGa01
Demario Douglas,NWE,1,5,0,100.0,5.0,1.0,1,DougDe00
Kenyan Drake,BAL,1,0,0,0.0,0.0,0.0,1,DrakKe00
Gerald Everett,LAC,1,2,0,0.0,2.0,0.5,1,EverGe00
Marquise Goodwin,CLE,1,1,0,0.0,1.0,0.3,0,GoodMa00
Peyton Hendershot,DAL,1,0,0,0.0,0.0,0.0,0,HendPe01
Connor Heyward,PIT,1,0,0,0.0,0.0,0.0,0,HeywCo00
Tyreek Hill,MIA,1,14,0,100.0,14.0,2.8,0,HillTy00
KhaDarel Hodge,ATL,1,0,0,0.0,0.0,0.0,1,HodgKh00
Evan Hull,IND,1,1,0,0.0,1.0,1.0,0,HullEv00
Rakim Jarrett,TAM,1,0,0,0.0,0.0,0.0,0,JarrRa00
Van Jefferson,LAR,1,4,0,100.0,4.0,0.8,0,JeffVa00
Christian Kirk,JAX,1,6,0,100.0,6.0,1.2,0,KirkCh01
Drew Lock,SEA,1,11,0,100.0,11.0,11.0,0,LockDr00
Isaiah McKenzie,IND,1,4,0,100.0,4.0,0.8,0,McKeIs00
Jakobi Meyers,LVR,1,0,0,0.0,0.0,0.0,0,MeyeJa01
Keisean Nixon,GNB,1,11,0,100.0,11.0,2.2,0,NixoKe00
George Pickens,PIT,1,16,0,100.0,16.0,3.2,1,PickGe00
Kyle Pitts,ATL,1,-4,0,0.0,-4.0,-0.8,0,PittKy00
Brandon Powell,MIN,1,9,0,100.0,9.0,1.8,1,PoweBr00
Adam Prentice,NOR,1,5,0,100.0,5.0,1.0,1,PrenAd00
